artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Beatsole,3Rx1zM3nDFQzAOYg9Hd0D4,Shanti (ASOT 874),0.000215,0.435,277098,0.7959999999999999,0.887,2,0.407,-12.252,1,0.0687,132.049,4,0.106,31
Ferry Corsten,6F5J2WFkygpTK89V7ovVB1,I Love You (ASOT 874),3.55e-05,0.489,172244,0.932,0.125,2,0.294,-10.371,1,0.0432,132.003,4,0.62,23
Audien,6cVeUZciqheFBEaJ4haQdJ,Higher (ASOT 874),0.000426,0.441,151900,0.472,0.0019,6,0.115,-12.172,0,0.0363,131.964,4,0.0655,20
Elevven,74pdubLPY21sp8poN4Jxoi,Heartbeat Tonight (ASOT 874) [Progressive Pick],8.96e-05,0.483,237556,0.743,0.00208,6,0.11,-10.563,0,0.0969999999999999,132.01,4,0.102,18
Denis Kenzo,0ehIsKEuHfqMLo4Z06ghys,Sweet Lie (ASOT 874) [Future Favorite],0.0458,0.376,245710,0.616,3.55e-06,1,0.502,-12.556,0,0.045,131.996,4,0.122,22
ARTY,6PqVd4RkjnOTroZI6C4WW0,Tim (ASOT 874),9.97e-05,0.165,216960,0.8390000000000001,0.903,4,0.201,-11.005999999999998,1,0.0344,128.076,4,0.326,21
Davey Asprey,0bh4eFCAXeWDaFBr2aHtuP,Azile (ASOT 874),0.0226,0.361,117170,0.551,0.92,3,0.613,-12.575,1,0.0382,135.063,4,0.446,19
ARTY,7915iolh0QvdpvSIiAj3h4,Rain (ASOT 874),0.000128,0.368,202570,0.644,0.0654,10,0.195,-10.883,1,0.0368,127.808,4,0.0694,19
ARTY,1F71wFfIO5MMcD5YRIgAi8,Sunrise (ASOT 874),0.00185,0.2739999999999999,191780,0.4039999999999999,0.0031899999999999,0,0.2319999999999999,-11.174,1,0.0354,127.805,4,0.22,19
Neffex,2yB5GBaK8C2zsKLlHV4ND3,Climb,0.039,0.775,144000,0.685,0.0,5,0.0725,-7.552,1,0.369,140.142,4,0.949,41
Armin van Buuren,6clAqlVyqTibiYdZENHbg9,"A State Of Trance (ASOT 874) - Track Recap, Pt. 1",0.1119999999999999,0.516,31720,0.685,0.0,6,0.369,-10.207,0,0.241,91.191,3,0.821,14
Armin van Buuren,3wEVmwMEPENPXaWgW2hAyR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 2",0.1159999999999999,0.5920000000000001,35060,0.6759999999999999,0.0,6,0.552,-10.949000000000002,0,0.365,64.03699999999999,3,0.725,14
Armin van Buuren,7ETDWSQx083kZ1oybLDGzS,"A State Of Trance (ASOT 874) - Track Recap, Pt. 3",0.0306,0.489,50700,0.599,0.0,11,0.3279999999999999,-10.637,0,0.27,135.446,5,0.599,13
Armin van Buuren,08RRNkA508ClDTE0QYqDYn,A State Of Trance (ASOT 874) - ASOT Live From Tommorowland 2018 Announcement,0.0879,0.527,35990,0.757,0.0,4,0.4539999999999999,-10.241,0,0.298,67.01899999999999,3,0.953,14
Armin van Buuren,7frbTr9qYVdeXjUUC6HwOj,"A State Of Trance (ASOT 874) - Coming Up, Pt. 3",0.151,0.5379999999999999,49120,0.858,0.0,8,0.144,-11.037,1,0.16,132.088,4,0.703,14
Vincent de Moor,6CHzMqs0evRZb9bczFWnyM,Fly Away (ASOT 874) - KhoMha Remix,0.000195,0.471,191930,0.888,0.893,1,0.688,-11.833,1,0.0519,130.07399999999998,4,0.304,18
Rub!k,1h8QJnnfhkpGDq1wLw6Wa9,Breathe Deep (ASOT 874),0.00412,0.4479999999999999,195750,0.738,0.911,11,0.2689999999999999,-11.675999999999998,1,0.0773,130.058,4,0.109,16
Xavier Wulf,753SBYPEiJG9wTkXBSgMce,Wake Walker,0.1689999999999999,0.8320000000000001,133349,0.457,2.94e-05,1,0.133,-10.623,1,0.172,130.026,4,0.2269999999999999,39
Gareth Emery,0gP7v27ftkscMDsg8LblW1,Saving Light (ASOT 874) [Service For Dreamers],0.000295,0.2689999999999999,251700,0.5660000000000001,0.0707,4,0.502,-11.095999999999998,0,0.0429,131.863,4,0.0587,18
Armin van Buuren,69LlMR6xB0ZzWMd8JfPmed,"A State Of Trance (ASOT 874) - Coming Up, Pt. 2",0.18,0.4529999999999999,41565,0.507,0.0,7,0.836,-12.69,1,0.303,111.266,4,0.536,16
Fatum,55gqdKiMHGSZ2vyyL8HMAs,Petra (ASOT 874),0.00172,0.239,107120,0.657,0.971,6,0.126,-11.322,1,0.0754,129.747,4,0.146,15
Alex Sonata,7vbF57ErhjDbuyrNoq24K0,I'll Be Your Light (ASOT 874),0.00564,0.299,227240,0.6409999999999999,0.000987,0,0.705,-11.93,0,0.0519,132.014,4,0.126,32
Armin van Buuren,0P2U58g8RHQ51exzBZglwu,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 1",0.242,0.551,34900,0.551,0.0,1,0.716,-10.970999999999998,1,0.81,172.205,5,0.759,12
Specific Slice,15XCwvNmzx7NhUmHWwvYEV,Inception (ASOT 874),0.0001899999999999,0.395,298810,0.8590000000000001,0.384,1,0.733,-11.906,1,0.095,131.68200000000002,4,0.251,14
Andy Moor,7BOPIDwfcZxrijQsmmIJNm,There Is Light (ASOT 874) - A.R.D.I. Remix,0.0001699999999999,0.4539999999999999,252150,0.966,0.715,0,0.477,-11.679,0,0.24,137.035,4,0.0536,16
Xavier Wulf,2vHpodBjzmquS1otuCN9Ra,A Day's Routine - Interlude,0.0025,0.6509999999999999,137179,0.857,0.493,1,0.115,-7.672000000000001,0,0.0609,169.97,5,0.139,37
Armin van Buuren,4b015GCZ0TsIGAx5NpDs7I,"A State Of Trance (ASOT 874) - Coming Up, Pt. 1",0.0198,0.46,31224,0.662,0.0,2,0.299,-10.579,1,0.3329999999999999,132.468,4,0.706,16
Armin van Buuren,38OiUD6l3Tm1jgSLGC9GNH,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 2",0.236,0.657,31110,0.471,0.0,9,0.862,-10.784,1,0.4039999999999999,77.584,3,0.867,12
Hamzeh,5BCnkUBpOza5RMvAc7hhhW,Frostbite (ASOT 874),0.0077599999999999,0.433,176070,0.787,0.883,8,0.39,-11.765,1,0.0378,133.515,4,0.214,14
MaRLo,6d4kE5Kz6ZD4XNrItzdG2m,Haunted (ASOT 874) - Avao Remix,0.000977,0.499,243540,0.722,0.515,7,0.331,-11.55,1,0.0429,136.174,4,0.0844,17
Armin van Buuren,3VxbUOrzirMCahEIsA1d6V,A State Of Trance (ASOT 874) - Intro,0.00276,0.291,31315,0.905,0.0,2,0.369,-10.378,1,0.165,134.22299999999998,1,0.341,17
Armin van Buuren,7n0tdLess1KeIFAHGH0fVM,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 3",0.276,0.6679999999999999,33780,0.462,0.0,9,0.6659999999999999,-10.292,1,0.38,89.691,5,0.907,12
Armin van Buuren,5F1lGLl5wpnhC3y8cYMpho,"A State Of Trance (ASOT 874) - Coming Up, Pt. 4",0.115,0.5379999999999999,48750,0.795,0.0,11,0.855,-10.377,0,0.0933,100.567,4,0.721,12
Armin van Buuren,7ftu8yJOfPaM6T8wE81Mt8,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 4",0.305,0.76,36520,0.462,0.0,11,0.409,-11.029000000000002,0,0.422,88.645,5,0.918,12
Adam Ellis,3HRLlKWdmzXfAmbcrOkevH,An Ember In The Ashes (ASOT 874),0.000108,0.408,268410,0.979,0.981,1,0.55,-11.928,1,0.0673,135.993,4,0.1159999999999999,16
Maarten de Jong,4mAMQYAVYgogB0aKVC6TIp,Cast Iron (ASOT 874),9.14e-06,0.246,147280,0.802,0.905,7,0.536,-10.609000000000002,1,0.0431,135.974,4,0.152,17
Armin van Buuren,6c6yKJwLGzXOu0vEakOH13,A State Of Trance (ASOT 874) - Contact 'Service For Dreamers',0.0577,0.555,38230,0.547,0.0,9,0.66,-11.486,0,0.341,64.775,4,0.6459999999999999,11
Armin van Buuren,1S0RxwsyXIzBEgFjSm5kSR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 4",0.0478,0.427,33240,0.659,0.0,7,0.348,-10.572,1,0.2019999999999999,134.254,4,0.698,11
Jeremy Vancaulart,2VcMphlgKGvL1qkYGc8x6U,Hurt (ASOT 874),7.840000000000001e-05,0.428,224650,0.975,0.48,6,0.708,-10.791,1,0.131,138.026,4,0.0398,18
Armin van Buuren,4Z2PSznN20oTgid0Oipjcg,"A State Of Trance (ASOT 874) - Coming Up, Pt. 5",0.0769,0.486,34920,0.805,0.0,8,0.256,-10.663,1,0.249,131.339,1,0.391,11
Armin van Buuren,4Qx6U2LJUc7BsRJdeJtofE,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 1",0.192,0.602,34150,0.49,0.0,11,0.894,-11.624,1,0.4379999999999999,68.184,4,0.575,11
Monada,6m7oudpYFspprKzxVAEr6q,Sunbeam (ASOT 874),1.7e-05,0.365,158780,0.8809999999999999,0.966,4,0.428,-12.329,0,0.0455,137.986,4,0.12,13
Armin van Buuren,6YAL6PEqjMuZQ7KTLD8W4q,We Control The Sunlight (ASOT 874) - Dan Stone Remix,1.26e-05,0.418,235450,0.86,0.465,6,0.2239999999999999,-11.502,0,0.0735,137.866,4,0.206,16
Armin van Buuren,7jaWLAOLee9FTHwpCT6Ktr,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 2",0.207,0.599,32200,0.529,0.0,11,0.848,-11.018,0,0.325,133.665,4,0.585,11
Armin van Buuren,1n5fuPLpUn9U5uqJGWfV7L,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 3",0.205,0.564,36370,0.473,0.0,1,0.358,-11.533,0,0.324,119.102,3,0.309,11
John Askew,65xGXbgdMo3KZGMrcbLNuE,On The Rocks (ASOT 874),0.00294,0.387,137390,0.989,0.959,1,0.684,-11.694,1,0.0813,138.07399999999998,4,0.33,18
Armin van Buuren,4XG9o1DYkfDf4q5olv04ca,Missing (ASOT 874) - Jorn van Deynhoven Remix,1.89e-05,0.456,192000,0.948,0.457,7,0.288,-11.608,1,0.0953,138.004,4,0.081,16
MaRLo,7EzEEmLfztTRDMLqSDE5Dk,Always Be Around (ASOT 874) - Pinkque Remix,0.0002089999999999,0.392,205160,0.816,0.371,4,0.327,-11.267,0,0.048,138.077,4,0.0373,15
Armin van Buuren,6T1VY8XrCMCImAWrg9nJcE,"A State Of Trance (ASOT 874) - Track Recap, Pt. 5",0.103,0.409,31340,0.8390000000000001,0.0,10,0.657,-10.477,0,0.314,139.716,4,0.652,10
Cosmic Gate,2FAWvFvbnIQewuisjPhcmh,Exploration Of Space (ASOT 874),0.00704,0.425,58910,0.922,0.0109,7,0.331,-10.325,1,0.0526,138.055,4,0.695,12
ALPHA 9,0geQd4APFu9K4FjqwKkZjp,Burning Heart (ASOT 874),1.39e-05,0.4479999999999999,210000,0.85,0.0228,0,0.539,-10.879,1,0.0349,128.05200000000002,4,0.218,16
Avao,05bIw49oVIztN3mwOyYKY5,Activate (ASOT 874) [Trending Track],0.000648,0.465,64370,0.855,0.254,7,0.462,-11.082,1,0.054,138.076,4,0.5429999999999999,12
Audien,7yHAA8e16KX1IBOswH2KRc,Wayfarer (ASOT 874),0.000151,0.43,89980,0.8759999999999999,0.317,7,0.184,-12.224,0,0.0941,127.994,4,0.75,14
Armin van Buuren,7iaOnKcGfobqKucWY3XBR1,A State Of Trance (ASOT 874) - Shout Outs,0.283,0.465,32190,0.616,0.0,11,0.584,-10.644,1,0.1989999999999999,148.377,4,0.878,10
Armin van Buuren,4J02UuHtK28HzY43XpOjz8,EIFORYA (ASOT 874),0.0472,0.254,45330,0.314,0.51,0,0.181,-12.533,1,0.043,138.033,4,0.493,11
ALPHA 9,25I7GOLJGXTg6Euw3t7f6B,Skin (ASOT 874),0.19,0.423,154470,0.449,0.43,2,0.482,-12.175999999999998,0,0.0335,128.059,4,0.165,14
Above & Beyond,4QtksZ3EZhNpiBlNAj3WU6,My Own Hymn (ASOT 874) - ALPHA 9 Remix,0.000643,0.296,261059,0.58,0.000176,0,0.262,-11.186,1,0.0476,127.613,4,0.156,14
Armin van Buuren,0MiOAORl4xjf5FR7HruHKx,A State Of Trance (ASOT 874) - Vote For DJ Mag Top 100,0.0416,0.441,42230,0.836,0.0,0,0.307,-10.729,0,0.095,137.64700000000002,4,0.634,10
Reverse,4nRayAcWEtaviWhQ8O6xCn,Absolute Reality (ASOT 874) - ARTY Remix,4.57e-05,0.421,180410,0.561,0.8,10,0.1689999999999999,-12.234000000000002,1,0.0468,127.934,4,0.0524,15
ALPHA 9,01GJ1uuXSQycnqSHCk43c7,The Night Is Ours (ASOT 874),0.00052,0.3989999999999999,173790,0.5710000000000001,0.0594,5,0.2769999999999999,-11.42,0,0.0458,128.064,4,0.243,15
Armin van Buuren,3MxEH4OLGgyXzdi0y3QThf,"A State Of Trance (ASOT 874) - Track Recap, Pt. 6",0.0493,0.423,33160,0.675,0.0,7,0.433,-10.714,1,0.1989999999999999,142.369,3,0.8079999999999999,10
Deniz Koyu,0lNjg4MOf3X36oZmkmnVm2,Hydra (ASOT 874),0.00883,0.408,75000,0.6679999999999999,0.96,8,0.151,-11.939,0,0.0584,127.879,4,0.0917,13
Rafael Frost,28ujdbx9KMnEeaGrRLLqUV,New York (ASOT 874),4.9000000000000005e-06,0.523,40990,0.586,0.765,1,0.8320000000000001,-11.145,1,0.057,127.962,4,0.336,11
ALPHA 9,1SHoIkSvuvpWroSS7ffxe9,Only Good Mistake (ASOT 874),0.000997,0.379,135000,0.483,0.0037,1,0.507,-11.232,1,0.0567,128.096,4,0.126,14
Armin van Buuren,32aXcAaApfTbkZEuoWSOMg,A State Of Trance (ASOT 874) - Upcoming Events,0.261,0.481,33400,0.7829999999999999,0.0,11,0.644,-10.937,0,0.356,77.539,3,0.752,10
Armin van Buuren,3VpWFnitRRiO8keadeQyEi,Shivers (ASOT 874) - ALPHA 9 Remix,0.000121,0.44,322400,0.789,0.235,1,0.242,-10.886,1,0.0473,127.963,4,0.192,14
ALPHA 9,0DL6M2BeSEKJjrLEj54LvG,Sleepwalker (ASOT 874),4.270000000000001e-05,0.21,189100,0.506,0.038,4,0.207,-10.958,0,0.0512,122.931,4,0.134,13
ARTY,6cgMlo8GpIxQ6MwPkQzLZm,Must Be The Love (ASOT 874),4.2e-06,0.485,60000,0.86,0.823,11,0.347,-12.26,0,0.41,127.993,4,0.311,13
ALPHA 9,11skvfhQuB4tg0gsGSNc6b,Higher Place (ASOT 874),0.371,0.397,37434,0.631,0.514,8,0.488,-13.278,0,0.0506,128.084,4,0.66,12
Andrew Bayer,5oeKCFPdQaEE8NWjN3dqmr,Nobody Told Me (ASOT 874),0.000127,0.461,105200,0.86,0.9,2,0.434,-11.483,1,0.0572,127.982,4,0.493,11
Armin van Buuren,7KlQI5zs17kOUhfYY3o0vN,A State Of Trance (ASOT 874) - Outro,0.0282,0.0,33310,0.524,0.0,11,0.6579999999999999,-11.89,0,0.0,0.0,0,0.0,9
Xavier Wulf,5w4P88ZGRvKpUSmHNiWKjP,Riding Shotgun in Japan (feat. KOHH),0.115,0.774,163835,0.54,0.0,2,0.79,-9.954,0,0.16,129.918,4,0.541,36
Xavier Wulf,2a4EjsC0cpRXPQ9moclzbi,Check It Out (Remix) [feat. Skepta],0.315,0.8420000000000001,121555,0.653,0.0,9,0.104,-8.046,0,0.135,156.006,4,0.8440000000000001,42
Natalie Stovall,4f0fNn7xBu6COtRfMAzjJ5,Can't Love You No More,0.0088799999999999,0.5720000000000001,184240,0.939,0.0,4,0.287,-3.415,0,0.106,106.041,4,0.591,21
Jon Z,4e2cAiSYtXiDzomtvBS4CT,The timeless one,0.0441,0.412,184750,0.618,0.294,6,0.191,-7.049,1,0.0286,180.007,4,0.139,19
Jon Z,3JMsCeOPEl9furVi811r7e,The movie,0.00182,0.524,227027,0.2,0.944,0,0.0758,-26.135,1,0.0496,148.03,4,0.176,20
Rakeem Miles,2cbPnoLB6GglJnNhYWiz0j,Hardway,0.0236,0.944,183273,0.752,0.00126,11,0.115,-6.556,1,0.0775,110.062,4,0.295,28
Mantraa,4dVWz5zq7XXigjOfrAfI19,Movin On,0.00162,0.779,180000,0.8590000000000001,0.0152,5,0.225,-3.977,1,0.0661,120.023,4,0.5589999999999999,20
Joe,1Ty1P2mivBFaWI50t2Q7xA,Red Planet - Quiet Land Extended,0.157,0.789,374840,0.976,0.804,0,0.039,-11.106,1,0.0598,134.89600000000002,4,0.6759999999999999,3
Marvelus Fame,1D0WEXnRvglieRauHKrypU,Camara Lenta,0.679,0.718,205822,0.695,2.84e-06,5,0.0902,-6.039,1,0.213,142.109,4,0.467,47
Kygo,0zhBS3T33cnJUwfoOEmlCL,Kids in Love (feat. The Night Game) - The Him Remix,0.104,0.532,195920,0.723,9.28e-06,0,0.114,-4.691,1,0.0449,125.071,4,0.181,48
Rico Nasty,4rNcajJ4guG6OnbMp7TkgK,In The Air (feat. BlocBoy JB),0.207,0.8440000000000001,178405,0.931,0.0,11,0.119,-2.01,0,0.239,139.924,4,0.8490000000000001,46
Dawes,3hiLVLYbopkDcZG781UMbx,Stay Down,0.616,0.732,200352,0.494,0.000481,4,0.109,-10.033,1,0.0328,115.857,4,0.765,38
Neko Case,52nxKZY1nWQoBQxuO9uISM,Curse of the I-5 Corridor,0.433,0.359,421244,0.573,0.00139,9,0.354,-8.92,0,0.0503,148.029,4,0.352,43
Monique Nikkole,1uQRcSQv8a6UZPjlzmgTXC,I Feel Love,0.00456,0.7120000000000001,232500,0.395,0.166,7,0.1159999999999999,-11.485,0,0.0506,127.998,4,0.733,0
AP3,0dAj0cfixwiTN9J2LOb2oG,Have It (feat. Flo Rida) - Mark Stout & Scott Svejda Radio Mix,0.0559999999999999,0.526,194758,0.982,0.00677,6,0.349,-2.099,0,0.0769,123.958,4,0.6509999999999999,13
St. Lucia,590BlRXa6rxy6pf9ZtSBZZ,A Brighter Love - Edit,0.057,0.7929999999999999,235747,0.574,0.0008359999999999,4,0.0864,-5.666,0,0.0338,114.014,4,0.4,32
Arcangel,72oPpfdPhYhfDA0mATrIto,Date Cuenta,0.53,0.597,204080,0.722,0.0008039999999999,5,0.236,-5.861000000000001,1,0.125,99.69,4,0.7490000000000001,41
Alok,74RrMiuSOzAHZEqLlC0BHz,Toda La Noche,0.379,0.735,186667,0.8190000000000001,0.0,0,0.0423,-4.809,1,0.124,90.039,4,0.616,51
Wet,5cDI5fy6WTipWVNoVXWVmb,Out of Tune,0.69,0.413,221933,0.272,7.04e-06,0,0.18,-10.388,1,0.0301,113.648,4,0.119,44
Parcels,6tpAsLYl8JREa9JeMFUTBV,Bemyself,0.377,0.497,147788,0.3829999999999999,2.53e-06,9,0.725,-13.44,1,0.0299,209.747,3,0.884,49
Galantis,7oFw1YAaMxJauUhTnrm0rk,Spaceship (feat. Uffie) - Denis First & Reznikov Remix,0.0531,0.691,184782,0.804,0.134,2,0.366,-4.38,0,0.0364,126.039,4,0.473,36
Curren$y,3LIcEM8S2jrX6vA0OQXfBU,Modena Moves (feat. French Montana),0.314,0.53,174000,0.797,0.0,8,0.406,-7.292000000000001,0,0.389,79.928,4,0.5660000000000001,42
The Tuesday Crew,3hqXUcu06ajELPBS3uhCD1,Summer Lovin',0.1939999999999999,0.7959999999999999,241244,0.331,0.0,0,0.159,-9.903,1,0.0521,137.968,4,0.632,43
Mister Cumbia,1t2FIX5J9j11d5fdh46YcJ,La Cumbia de Zague,0.0554,0.868,170553,0.721,0.000265,0,0.1169999999999999,-9.673,1,0.0462,120.977,4,0.904,42
Twice 20,05nFSAb3FCfyvLQOxvM0yT,Fallin' - GET FAR Remix,0.0478,0.411,209738,0.8540000000000001,0.00422,0,0.0997,-4.487,0,0.0429,116.213,1,0.179,14
Mark Knight,4eF2g9nh6lvp3pDC5GvxPj,Shamrat,0.00634,0.804,230323,0.982,0.863,2,0.185,-6.419,0,0.0698,124.0,4,0.405,37
Black Gloves,0f1s8Al4mg1Jan3BeDknbB,Big Smoke,0.0832,0.563,74340,0.8109999999999999,0.872,4,0.281,-4.296,0,0.0528,78.044,4,0.8370000000000001,30
Miky Woodz,0gBAr8mSDKLXhZFW0dNyc7,About Me,0.233,0.8190000000000001,252880,0.539,0.0,1,0.181,-4.901,1,0.111,80.024,4,0.55,52
Calvin Harris,7FliZx9wTDb0U1tPfS7AuX,One Kiss (with Dua Lipa) - Valentino Khan Remix,0.1689999999999999,0.8290000000000001,251429,0.664,0.000927,7,0.262,-4.191,1,0.0435,126.017,4,0.432,48
French Montana,2RC86WM8zX8v1z4QNtZ2sI,New Goals (French Montana),0.1119999999999999,0.8,241587,0.7490000000000001,0.0,0,0.3339999999999999,-4.548,1,0.0593,115.076,4,0.247,44
AP3,0e2M0EcDiJdaDK8gZPyonE,Just The Same - AP3 House Remix,0.00121,0.804,258173,0.68,0.0137,4,0.063,-6.371,0,0.064,122.994,4,0.7170000000000001,24
The Interrupters,4C0ZP5m9z0pfefQHUhach5,Gave You Everything,0.0007509999999999,0.413,186120,0.987,0.00266,2,0.515,-3.096,1,0.104,163.084,4,0.352,55
Arcangel,7CvDGxMqOjJOrFtLmPA53H,En Su Boca,0.528,0.845,189987,0.665,0.000131,11,0.156,-4.958,1,0.203,128.069,4,0.251,45
Erik Nieder,2h7lufkzcTZQFIk14THUHF,Better Than Life,0.031,0.526,284598,0.6709999999999999,0.0,0,0.0752,-7.51,1,0.0325,144.047,4,0.2739999999999999,26
Poppy,1HExJgzh18hPEaZIUmboXC,Metal,0.000561,0.71,218621,0.746,0.294,6,0.114,-4.707,1,0.0353,125.016,4,0.862,41
Deafheaven,2nznScQCuL4r9OKMr4A7qc,Near,0.166,0.296,328643,0.48,0.934,0,0.1119999999999999,-9.685,1,0.0281,133.509,4,0.157,42
mingi pak,76ZOGufpoUcIRUIi0bTs6g,one,0.821,0.727,75000,0.382,0.7120000000000001,9,0.113,-11.545,0,0.385,80.055,4,0.248,17
SHINee,2gL1DhV4XJxkzbFAYvRn0K,독감 Who Waits For Love,0.0955,0.367,231178,0.7609999999999999,0.0,5,0.0886,-4.249,1,0.1169999999999999,92.927,4,0.344,42
SafetySuit,020CYST5igIc5Gx2HtRkJi,F E E L S,0.51,0.499,197647,0.362,0.0,7,0.28,-8.206,1,0.0621,84.45,4,0.618,37
The Sisterhood Band,2sVvEIgn477aRZXk4QkLk9,Half Way,0.597,0.6679999999999999,220013,0.8009999999999999,4.39e-06,2,0.11,-4.284,1,0.0321,149.892,4,0.767,23
Joe,3FeufAV1f6fajILIQuAXMw,Red Planet - Red Planet Radio,0.0215,0.698,256080,0.968,0.862,7,0.111,-11.012,0,0.0337,136.884,4,0.39,0
Day6,1V5SnN2nJb2Yv0gKpXToMT,Stop The Rain,0.000305,0.484,280373,0.932,0.0,6,0.0768,-2.5610000000000004,0,0.0559,122.027,4,0.609,47
Dirty Projectors,1Z3RQFrjlpxtD0vXuLRQJD,What Is The Time,0.397,0.757,195773,0.415,0.000492,5,0.0741,-3.827,1,0.0801,78.062,4,0.606,42
B.o.B,0rN10nW34Z4P90th3IZV3p,Gerald Levert,0.28,0.846,192000,0.629,0.0008609999999999,9,0.096,-9.396,1,0.28,149.991,4,0.244,35
Joe,2o7oYjZuo3S2QitY4R5dII,Red Planet - Red Planet Extended,0.00339,0.7240000000000001,395442,0.97,0.8959999999999999,2,0.106,-8.415,1,0.0358,136.868,4,0.432,1
Taska Black,25DHR3vMzKxc4pkdfNx1b9,Forever,0.0342,0.573,215172,0.5770000000000001,0.0,0,0.0936,-5.86,0,0.0451,72.57,4,0.283,48
TAEYEON,1HVjqP22I8rGY1gyEqrEuy,Circus,0.669,0.75,234027,0.473,0.0,1,0.103,-6.906000000000001,1,0.0427,108.016,4,0.337,55
Grupo Firme,09BifdevHYM2DrH3owXID3,Me Muero,0.36,0.716,158672,0.648,0.0,2,0.184,-4.412,1,0.0283,127.967,4,0.6729999999999999,43
MYA,01GkSQ5gDn2BHOfgfdUepy,Loco por Ti,0.0568,0.705,194674,0.7120000000000001,0.0,11,0.0921,-5.409,1,0.156,173.96400000000003,4,0.867,58
Shwayze,1UGLjJ3C7V3BMLXpc5XJIL,Travelin',0.386,0.8190000000000001,239198,0.47,0.0,1,0.248,-7.189,1,0.0851,130.048,4,0.49,47
The Regrettes,7522DukIFj1ApjJ5ntF4od,Helpless,0.000181,0.496,195403,0.843,0.0002399999999999,9,0.35,-3.358,1,0.0537,163.955,4,0.703,46
CamelPhat,55DeU4jy32EJ4tFPgHBeGv,Dopamine Machine,0.0077,0.784,175926,0.903,0.00028,10,0.291,-7.303999999999999,0,0.0423,124.019,4,0.405,36
D.O.D,5FCMtcrNxuaw1PCN0xDG2t,Glow,0.5489999999999999,0.619,192877,0.91,0.0,1,0.3279999999999999,-2.761,0,0.133,125.972,4,0.412,38
Iamjakehill,0LCCBPmALbnVwvFgMv1urS,New Wave,0.564,0.963,128139,0.748,1.09e-06,0,0.0887,-4.942,1,0.0537,110.976,4,0.903,49
Brenky,3PiMnjBT6zVNcjwzkIkddF,Random,0.932,0.706,158999,0.22,0.8009999999999999,11,0.273,-9.583,0,0.505,80.10300000000001,4,0.922,29
Moon Byul,4Lgd631IfDKMLPu6t7L0Tj,SELFISH,0.297,0.502,192578,0.7,0.0,1,0.154,-3.66,1,0.126,87.20100000000001,4,0.64,51
